artobject_id,db_title,youtube_title,old_video_id,old_url,new_video_id,new_url,new_title,action
1706,001b / Más Szemmel,001b MAS SZEMMEL - H,FaRUcjDYZis,https://www.youtube.com/watch?v=FaRUcjDYZis,Jx7AP9-jaCA,https://www.youtube.com/watch?v=Jx7AP9-jaCA,001b MAS SZEMMEL - H (Enhanced 4K),REPLACE
1707,079b / IRAN / KÉZFOGAS – és néha csók,079b / Iran / KÉZFOGAS -- és néha csók - Farsi/Hsub,sQdMKkCuXkc,https://www.youtube.com/watch?v=sQdMKkCuXkc,,,,NO 4K FOUND
1645,"072 b / IRAN, kopftuch pariser kaffeehaus - alltag & politik",072b / Iran / KOPFTUCH PARISER KAFFEEHAUS - Farsi/Dsub,opavvOpVpUM,https://www.youtube.com/watch?v=opavvOpVpUM,J1VEC3Us21Q,https://www.youtube.com/watch?v=J1VEC3Us21Q,072b / Iran / KOPFTUCH PARISER KAFFEEHAUS - Farsi/Dsub (Enhanced 4K),REPLACE
1647,070c / Republik GEORGIEN / KMARA – ELÉG! / ROZSAS FORRADALOM,070c / KMARA - ELÉG! / ROZSAS FORRADALOM,qSgiCb2aJa4,https://www.youtube.com/watch?v=qSgiCb2aJa4,vHI2VvwFgSQ,https://www.youtube.com/watch?v=vHI2VvwFgSQ,070c / KMARA - ELÉG! / ROZSAS FORRADALOM (Enhanced 4K),REPLACE
1651,074a / DAS TESTAMENT – Yevgenyi Burak,DAS TESTAMENT - Yevgenyi Burak,-eTyUFV-KB8,https://www.youtube.com/watch?v=-eTyUFV-KB8,ZL4fpsfZ9KQ,https://www.youtube.com/watch?v=ZL4fpsfZ9KQ,DAS TESTAMENT - Yevgenyi Burak (Enhanced 4K),REPLACE
1674,074b / A TESTAMENTUM – Yevgenyi Burak,A TESTAMENTUM – Yevgenyi Burak,dOF5NTLfmn0,https://www.youtube.com/watch?v=dOF5NTLfmn0,aoxjEktqruo,https://www.youtube.com/watch?v=aoxjEktqruo,A TESTAMENTUM – Yevgenyi Burak (Enhanced 4K),REPLACE
1676,076 / Haider Abdel Shafi – peace not in my lifetime,Palestine / HAIDER ABDELSHAFI - last interview,4bLA0adDPaI,https://www.youtube.com/watch?v=4bLA0adDPaI,MOpfwkuh1Bw,https://www.youtube.com/watch?v=MOpfwkuh1Bw,Palestine / HAIDER ABDELSHAFI - last interview (Enhanced 4K),REPLACE
1677,077a / REPUBLIC OF GEORGIA – where God landed,077a / Republic of Georgia / WHERE GOD LANDED - R/G/A/O/Esub,q_UgL0Pbet8,https://www.youtube.com/watch?v=q_UgL0Pbet8,vjPiwPzTTjU,https://www.youtube.com/watch?v=vjPiwPzTTjU,077a / Republic of Georgia / WHERE GOD LANDED - R/G/A/O/Esub (Enhanced 4K),REPLACE
1678,077b / Republik Georgien – Fusstritte Gottes,077b / Republik Georgien / FUSSTRITTE GOTTES - R/G/A/O/Dsub,cWGbmkCvGHA,https://www.youtube.com/watch?v=cWGbmkCvGHA,8Dkr7t65k5Q,https://www.youtube.com/watch?v=8Dkr7t65k5Q,077b / Republik Georgien / FUSSTRITTE GOTTES - R/G/A/O/Dsub (Enhanced 4K),REPLACE
1679,077c / Grúz Köztársaság – Ahol Isten Leszállt,077c / Grúz Köztársaság / Ahol Isten Leszállt - Hsub,l8szkLe2eiM,https://www.youtube.com/watch?v=l8szkLe2eiM,3G7etaHUS44,https://www.youtube.com/watch?v=3G7etaHUS44,077c / Grúz Köztársaság / Ahol Isten Leszállt - Hsub (Enhanced 4K),REPLACE
1680,074c  ЗАВЕЩАНИЕ – ЕВГЕНИЮ БУРАКУ,074c / ЗАВЕЩАНИЕ / ЕВГЕНИЮ БУРАКУ - R,v27m8UT4w0M,https://www.youtube.com/watch?v=v27m8UT4w0M,,,,NO 4K FOUND
1716,083a DPRK / KIM DYNASTY - teaching method,DPRK / KIM DYNASTY - teaching method,5AdE5zNRq6w,https://www.youtube.com/watch?v=5AdE5zNRq6w,YyxnEtDf3G4,https://www.youtube.com/watch?v=YyxnEtDf3G4,DPRK / KIM DYNASTY - teaching method (Enhanced 4K),REPLACE
1717,083b DPRK / KIM JONG IL / moviemaker - all about love,DPRK / KIM JONG IL / moviemaker - all about love,nIjgA9_9tgM,https://www.youtube.com/watch?v=nIjgA9_9tgM,KLCqrlGWOnE,https://www.youtube.com/watch?v=KLCqrlGWOnE,DPRK / KIM JONG IL / moviemaker - all about love (Enhanced 4K),REPLACE
1719,052ab ITZHAK FREY - Gedanken zur Gründung des Slowakischen Staates,052ab ITZHAK FREY / Gedanken zur Gründung des Slowakischen Staates - D,28sD05dtKzE,https://www.youtube.com/watch?v=28sD05dtKzE,cbbqvaYFsLo,https://www.youtube.com/watch?v=cbbqvaYFsLo,052ab ITZHAK FREY / Gedanken zur Gründung des Slowakischen Staates - D (Enhanced 4K),REPLACE
1733,067 Something to Say to the World? - Bests from Lis,067 / SOMETHING to SAY to the WORLD - Bests from Lis out of Kenya,V1k1xyzaGzY,https://www.youtube.com/watch?v=V1k1xyzaGzY,6ovCHUIpbno,https://www.youtube.com/watch?v=6ovCHUIpbno,067 / SOMETHING to SAY to the WORLD - Bests from Lis out of Kenya (Enhanced 4K),REPLACE
1725,010b / SUITE 702,010b SUITE 702 - H,ZsfwCuMHFVw,https://www.youtube.com/watch?v=ZsfwCuMHFVw,f0R7_enfXbo,https://www.youtube.com/watch?v=f0R7_enfXbo,010b SUITE 702 - H (Enhanced 4K),REPLACE
